REPRESENTANTE;NOME;CODIGO CLIENTE;NOME CLIENTE;CODIGO ANTIGO;TIPO;ENDEREÇO;NRO;BAIRRO;CEP;CIDADE;UF;FILIAL;NOME FANTASIA;CNPJ;INSC.ESTADUAL;DATA CADASTRO
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;11959349;ALEXANDREE AP SOUSA;;F;R. BIANOR CESCON;8;JD. GALEGO;13971261;ITAPIRA;SP;1;ACADEMIA FORMA FITNESS;11.959.349/0001-71;3,74056E+11;10/07/2017 00:06
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;28005568;ANA LAURA CARNECINE;;F;R. CARMO BRENGA;689;CJ.HAB. JULIO DE M FILHO;18053050;SOROCABA;SP;1;BY LAU;28.005.568/0001-14;7,98062E+11;01/08/2017 00:29
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;24761497;ANDRE COLOMBINI BARETTA;;F;AVENIDA RUBENS FRANCO;200;JARDIM SAMANTHA I;13605180;ARARAS;SP;1;ANDRE COLOMBINI BARETTA;24.761.497/0001-29;182.136.997.114;31/05/2016 18:45
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;228703678;ANDRE LUIZ GARCIA LEITE;;F;R. ZULMIRA SOARES DOS SANTOS;47;JD. STA. CLARA DO LAGO I;13186381;HORTOLANDIA;SP;48;ANDRE LUIZ GARCIA LEITE;. 22.870/3678-48;ISENTO;22/12/2015 23:49
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;22309143;ANDRE LUIZ GARCIA LEITE;;F;OTAVIO ROSOLEM;1165;JD TERRA DE SANTO ANTONIO;13185563;HORTOLANDIA;SP;1;HULK SUPLEMENTOS;22.309.143/0001-12;7,48182E+11;29/02/2016 23:00
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;8793793;ANDRE REIS SORIA  ME;9858;F;AVENIDA ONZE DE AGOSTO,853,;853;JARDIM RIBEIRO;13270190;VALINHOS;SP;1;ARS SUPLEMENTOS;8.793.793/0001-55;7,08205E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19840590;ANDRE ROMERO ALVARENGA & CIA LTDA - ME;;F;RUA ANTONIO PINHATA 85;85;JD PINHATA;13280000;VIVHEDO;SP;1;PANTERA NEGRA SUPLEMENTOS;19.840.590/0001-99;7,14069E+11;07/01/2016 10:07
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;14261306;APARECIDA DIZETI RODRIGUES 11543605800;15160;F;AVENIDA DOUTOR PAULO DE MORAES,1339,;1339;PAULISTA;13400853;PIRACICABA;SP;1;APARECIDA DIZETI RODRIGUES 11543605800;14.261.306/0001-06;5,35273E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;24383633;APARECIDO PERREIRA;;F;AV. MARECHAL RONDON;1579;JARDIM CHAPADÃO;13070172;CAMPINAS;SP;1;APARECIDO PERREIRA;24.383.633/0001-94;7,95697E+11;27/11/2016 16:59
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17273520;BAGNE E LOPES COMERCIO DE SUPLEMENTOS;;F;R. PITANGUEIRAS;134;JD. PITANGUEIRAS;13202450;JUNDIAI;SP;1;FUEL SUPLEMENTOS;17.273.520/0001-70;4,0731E+11;28/02/2015 18:53
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;1009719;BANDIT COMERCIO DE PEÇAS LTDA;999999;F;R. FRANCISCA LUCINDA BUENO;251;JD. NOVA INDAIA;13344400;INDAIATUBA;SP;1;BANDIT SUPLEMENTOS;1.009.719/0001-56;3,53074E+11;03/11/2015 12:56
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;10267056;BARAO SUPLEMENTOS LTDA ME;;F;R. HERMELINO MATARAZZO;286;V. GAGLIARDI;18080000;SOROCABA;SP;2;BARAO SUPLEMENTOS LTDA ME;10.267.056/0002-41;6,69793E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;5322379;BARUQUE & GABRIELLI DISTRIBUIDORA DE SUP;;F;R. MARIA CINTO DE BIAGGI;164;JD. STA. ROSALIA;18095410;SOROCABA;SP;1;FITMUSCLE NUTRICAO ESPORTIVO;5.322.379/0001-70;6,69615E+11;23/03/2015 16:16
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;13935950;BATISTA & MILOCH COMERCIO DE SUPLEMENTOS ALIMENTAR;;F;RUA SILVIO RIZZARDO;145;JARDIM CAMPOS ELISEOS;13060854;CAMPINAS;SP;1;UPNUTRITION   SUPLEMENTOS ALIMENTARES;13.935.950/0001-50;7,95165E+11;27/05/2015 20:56
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;10365407;BELLA QUINTA COM. DE SUP. E TREINAMETO ERELE ME;;F;AV. PAULO;4525;V. SÃO DOMINGOS;18013004;SOROCABA;SP;1;SPASSFITNESS;10.365.407/0001-76;6,69927E+11;04/02/2016 08:29
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;14432262;BESCHTOLD & KOHN COMERCIO DE SUPLEMENTOS ALIMENTAR;999999;F;AVENIDA JOHN DULOP;350;CHAC. CNEO;13033000;CAMPINAS;SP;1;BESCHTOLD & KOHN COMERCIO DE SUPLEMENTOS;14.432.262/0001-30;7,95201E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;20348248;BIANCA MIELLI QUEIROZ;;F;R. ZELIA DULCE DE CAMPOS MAIA;43;JD PAULISTANO;18040580;SOROCABA;SP;1;GM SUPLEMENTOS;20.348.248/0001-55;6,69836E+11;16/08/2015 21:10
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;15251174;BRUNA MURANAKA POMPEU -ME;19494;F;RUA JORGE DE FIGUEREDO CORREA,1727,LOJA;1727;CHACARA PRIMAVERA;13087490;CAMPINAS;SP;1;BRUNA MURANAKA POMPEU -ME;15.251.174/0001-02;7,95246E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;10743265;CARLOS ALBERTO PANCINI FILHO ME;999999;F;RUA PROF. TEREZINHA ARRUDA CAMPOS,210,;210;VILA BOLDRIN;13450069;SANTA BARBARA D OESTE;SP;1;SUPER SUPLEMENTOS;10.743.265/0001-33;6,06225E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;13569899;CASA DO ATLETA SUPLEMENTOS ALIMENTARES EIRELI;;F;R. PADRE MANOEL GUINAUT;66;CENTRO;13270030;VALINHOS;SP;1;CASA DO ATLETA;13.569.899/0001-00;7,081E+11;31/03/2015 10:59
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;16861459;CHRISTIAN ATHAYDE DE SOUZA;;F;R. ANTONIO DE OLIVEIRA;550;JD. COSTA DIAS;18040120;SOROCABA;SP;1;CHRISTIAN ATHAYDE DE SOUZA;16.861.459/0001-10;ISENTO;13/03/2016 11:41
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19504724;CLAUDIO AKIO HIGASHE;;F;RUA 21 DE ABRIL;442;CENTRO;18190000;ARAÇOIABA DA SERRA;SP;1;HIGASHI SUPLEMENTOS;19.504.724/0001-09;1,78019E+11;15/12/2014 10:24
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;8728015;COMERCIAL RJ - NUTRICAO ESPORTIVA LTDA EPP;10500;F;RUA FERREIRA PENTEADO,480,A;480;CENTRO;13010040;CAMPINAS;SP;1;R J SUPLEMENTOS;8.728.015/0001-82;7,95192E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;9125934;CORPO & SAUDE SUPLEMENTOS E MATERIAIS ESPORTIVOS L;999999;F;AV. PASCHOAL ARDITO;985;SÃO MANOEL;13472130;AMERICANA;SP;1;BODY SHOP;9.125.934/0001-24;1,65355E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;12557139;CORPO EM FORMA NUTRICAO ESPORTIVA LTDA - ME;13516;F;RUA XV DE NOVEMBRO,389,A;395;CENTRO;13360000;CAPIVARI;SP;1;CORPO EM FORMA NUTRICAO ESPORTIVA LTDA -;12.557.139/0001-10;2,53029E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19174755;CROSS OVER SUPLEMENTOS ALIMENTICIOS LTDA;;F;AV. JOAO ANTUNES DOS SANTOS;141;JD. PINHEIROS;13274290;VALINHOS;SP;1;CROOS OVER SUPLEMENTOS;19.174.755/0001-30;7,08089E+11;13/03/2015 13:21
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;13163194;CRUZ & CRUZ COMERCIO DE SUPL. E ALIM. E SERV. LTDA;;F;R. RUBIAO DE ALMEIDA;1426;JD. SAO CONRADO;18076290;SOROCABA;SP;1;NILSON;13.163.194/0001-98;6,69735E+11;18/12/2014 15:36
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;26896124;DAIANE NAZARE TEIXEIRA;;F;R. JOSE BONIFACIO;408;CENTRO;13600140;ARARAS;SP;1;DAIANE NAZARE TEIXEIRA;26.896.124/0001-90;1,82195E+11;26/04/2017 22:23
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;21134396;DANILO APARECIDO MENONCELLO;;F;R. RIO BRANCO;157;RIBEIRAO;13904020;AMPARO;SP;1;UPGRADE MULTISPORTS;21.134.396/0001-30;1,68068E+11;15/10/2015 08:47
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17063337;DAVI TELES LARANJEIRA;;F;R. ALBERTO SEABRA;38;CENTRO;18270710;TATUI;SP;1;DAVI TELES LARANJEIRA;17.063.337/0001-40;6,87089E+11;30/06/2015 21:58
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;16730659;DN SUPLEMENTOS ALIMENTARES LTDA ME;;F;AV. JOÃO ERBOLATO;688;CHAPADÃO;13070070;CAMPINAS;SP;1;DN SUPLEMENTOS ALIMENTARES LTDA ME;16.730.659/0001-33;7,95394E+11;28/01/2016 23:07
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;28189670;DON HOPPER BARBEARIA LTDA - ME;;F;RUA DR. ERALDO AURELIO FRANZESE;175;JD. PAIQUERÊ;13271608;VALINHOS;SP;1;DON HOPPER BARBEARIA;28.189.670/0001-17;7,08137E+11;03/08/2017 12:42
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17622967;DOUGLAS DA SILVA SANTOS;;F;AVENIDA CARLOS SONETTI;927;JARDIM PRESTES DE BARROS;18021200;SOROCABA;SP;1;VIRTUAL SUPLEMENTOS;17.622.967/0001-08;6,69741E+11;16/09/2015 22:12
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;45305216;DROGARIA DO POVO LTDA;999999;F;AVENIDA SANTA IZABEL;183;CAMPINAS;13084012;CAMPINAS;SP;1;DROGARIA DO POVO LTDA;45.305.216/0001-01;2,44111E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;1555412;DROGARIA TERMINAL LTDA -ME;9245;F;RUA CAMPOS SALLES,61,;61;CENTRO;13450219;SANTA BARBARA D OESTE;SP;1;DROGARIA TERMINAL LTDA -ME;1.555.412/0001-50;6,06078E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17234420;E.J.A. DROGARIA E PERFUMARIA EIRELI EPP;;F;AV. JOSE PANCETTI;834;POOST SOUZA;13033740;CAMPINAS;SP;1;E.J.A. DROGARIA E PERFUMARIA EIRELI EPP;17.234.420/0001-35;;11/04/2016 22:00
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;5464582;E.K. SUZUKI  ME;6674;F;AVENIDA DOM PEDRO;309;JD DO LAGO;12914481;BRAGANCA PAULISTA;SP;1;E.K. SUZUKI  ME;5.464.582/0001-80;2,25191E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;5464582;E.K. SUZUKI  ME;;F;R. TEIXEIRA;691;JD. S.JOSE;12916360;BRAGANCA PAULISTA;SP;2;;5.464.582/0002-61;2,2525E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19169567;EKS SUPLEMENTOS LTDA- ME;;F;RUA TIRADENTES;66;CENTRO;37640000;EXTREMA;MG;1;EKS SUPLEMENTOS LTDA- ME;19.169.567/0001-14;22533580040;07/11/2014 16:52
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;18255585;ENOMOTO & FERREIRA;;F;RUA GASPAR RICARDO JR;401;CENTRO;18120000;MAIRINQUE;SP;1;BIG STYLE SUPLEMENTOS;18.255.585/0001-56;4,32036E+11;11/06/2015 17:41
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;20635901;EVANDRO COSTA CONCEICAO JUNIOR ME;;F;R. TIRADENTES;189;V. TEIXEIRA;13320290;SALTO;SP;1;NUTRI SUPLEMENTOS;20.635.901/0001-67;600.090.496.111;28/02/2015 21:18
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;10320509;F. ACKERMANN NUTRICIONAL  ME;10732;F;AL PROF LUCAS NOGUEIRA GARCEZ;3058;VILA HELENA;12947000;ATIBAIA;SP;1;F. ACKERMANN NUTRICIONAL  ME;10.320.509/0001-75;1,902E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;24625483;FABIANO DE ARRUDA CAVALCANTE;;F;AV. PAULO;576;V. SÃO DOMINGOS;18013002;SOROCABA;SP;1;MUITO MAIS SUPLEMENTO;24.625.483/0001-88;6,69972E+11;05/08/2016 13:14
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17266417;FABIANO PELOSI;;F;RUA JOSÉ EMIDIO;231;PQ CESARINO BARRETO;13495000;IRACEMAPOLIS;SP;1;FABIANO PELOSI;17.266.417/0001-01;3,62015E+11;31/05/2016 22:08
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;12617479;FABIO RODRIGUES DE JESUS - ME;;F;AV. EDMUNDO VIGNATTI;19;ESMERALDINA;13046000;CAMPINAS;SP;1;FABIO RODRIGUES DE JESUS - ME;12.617.479/0001-99;7,95096E+11;01/03/2016 09:37
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;59789925;FARMACIA AVALLONE LTDA EPP;999999;F;PC DA MATRIZ,70/80,;70/80;CENTRO;18270000;TATUI;SP;1;FARMACIA AVALLONE;59.789.925/0001-06;6,87002E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;21164426;FELIPE CHIARINI AMADE SUPLEMENTOS;;F;AV JOSE LOZANO ARAUJO;1005;JD AMERICA;13140711;PAULINIA;SP;1;NUTRIENERGY;21.164.426/0001-50;5,13083E+11;12/02/2015 11:13
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;12531861;FELIPE MOMESSO FEITOSA - ME;;F;RUA NICOLA TARALLO;136;CENTRO;13290000;LOUVEIRA;SP;2;FF SUPLEMENTOS;12.531.861/0002-66;4,2102E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;14043401;FERNANDA COPETTI;15954;F;RUA ANTONIO SILVA CUNHA BUENO;445;VILA SAO JOSE;18520000;CERQUILHO;SP;1;CSIX SUPLEMENTOS;14.043.401/0001-33;2,65025E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;7237375;FERNANDO BAGNE ME;999999;F;R DAS PITANGUEIRAS;134;VILA SAO BENTO;13202450;JUNDIAI;SP;1;FUEL NUTRIÇÃO FITNESS;7.237.375/0001-19;4,07426E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17759860;FERNANDO DOS SANTOS SILVA;;F;RUA BRASIL;442;VILA ISABEL EBER;13202284;JUNDIAI;SP;1;ELITE BR;17.759.860/0001-06;4,07318E+11;20/05/2015 16:36
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;14964000;FERNANDO KIOSHI LEITE FUZIKAVA;;F;R. SALVADOR DE OLIVEIRA LEME;639;JD. ITALIA;18201650;ITAPETININGA;SP;2;WORD MUSCLE;14.964.000/0002-05;3,71156E+11;10/04/2015 10:32
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;20722805;FERREIRA & SILVA ASSISTENCIA TÉCNICA E COMERCIO LT;;F;AV PAULO EMANUEL DE ALMEIDA;1069;WANWL VILE III;18053505;SOROCABA;SP;1;CORPO REAL;20.722.805/0001-56;6,69847E+11;23/01/2015 09:32
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;21787218;FLEX PROTEIN LTDA ME;;F;AV. INDEPENDENCIA;920B;V. OLIVO;13276030;VALINHOS;SP;1;FLEX PROTEIN;21.787.218/0001-08;7,08104E+11;09/02/2015 14:22
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;8801879;FLEXNUTRI COMERCIO DE SUPLEMENTOS ALIMENTARES LTDA;13132;F;RUA ONZE DE JUNHO,274,;274;CENTRO;13201038;JUNDIAI;SP;1;FLEXNUTRI NUTRIÇÃO E ESTETICA;8.801.879/0001-82;4,07455E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;14678370;FRANCIELE CAROLINA GUEDES DOS SANTOS;;F;RUA LUIZ ANTONIO VAZ DE CAMOES;26;JD PRIMAVERA;13173000;SUMARE;SP;1;FRANCIELE CAROLINA GUEDES DOS SANTOS;14.678.370/0001-97;;11/04/2016 22:35
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;10544564;FREDERICO AUGUSTO DE ALMEIDA PRADO TOSIN -ME;19042;F;RUA MAJOR ANTONIO DE ARRUDA MORAES,560,;560;VILA OLHO D AGUA;18212030;ITAPETININGA;SP;1;FREDERICO AUGUSTO DE ALMEIDA PRADO TOSIN;10.544.564/0001-49;3,71244E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19687142;GFG ESPORTES LTDA;;F;RUA ALPHEU GRIMELLO;348;TABOAO;12916010;BRAGANCA PAULISTA;SP;1;PRO FITNESS;19.687.142/0001-05;2,25161E+11;07/11/2014 10:41
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;21235913;GRF COMERCIO DE SUPLEMENTOS ALIMENTARES LTDA - ME;;F;AV WASHINGTON LUIZ;2480;VILA MARIETA;13042105;CAMPINAS;SP;1;NUTRI FIT;21.235.913/0001-67;7,95539E+11;30/05/2017 14:00
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;8899876;GUSTAVO DE VASCONCELOS BIANCHI  ME;9349;F;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIR;312;JARDIM  INOCOOP;13806520;MOGI MIRIM;SP;1;NUTRI MUNDO;8.899.876/0001-23;4,56156E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;26122290;H. EFFORE SUPLEMENTOS ESPORTIVOS - ME;;F;R. TUIUTI;10;CENTRO;13339010;INDAIATUBA;SP;1;SUPER BODY;26.122.290/0001-30;3,533E+11;18/10/2016 10:34
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;18773957;HUGO EFFORE;;F;R. TUIUTI;10;CENTRO;13339010;INDAIATUBA;SP;1;SUPER BODY SUPLEMENTOS;18.773.957/0001-36;3,53154E+11;24/08/2015 20:54
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;26511407;INSANE SUPLEMENTS FITNESS;;F;AV. DOS IMIGRANTES;299;JD SANTA ROSA;13280000;VINHEDO;SP;1;INSANE SUPLEMENTS FITNESS;26.511.407/0001-77;7,14077E+11;30/11/2016 22:14
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;21170049;IRANI LOPES DE SOUZA;;F;AV. FLAVIO PIRES DE CAMARGO;843;CAETETUBA;12951750;ATIBAIA;SP;1;NASA NUTRI;21.170.049/0001-62;1,90138E+11;28/01/2015 16:42
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;9412163;J. M. SUPLEMENTOS ESPORTIVOS LTDA ME;999999;F;R HERMAN MULLER CARIOBA,;420;CHACARA GIRASSOL;13465630;AMERICANA;SP;1;NEW BODY;9.412.163/0001-56;1,65359E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;13951067;J.E SEABRA SUPLEMENTOS  EPP;;F;R. MIGUEL ARCANJO MATIELO;138;EDEN;18103555;SOROCABA;SP;2;NUTRISTORE SOROCABA;13.951.067/0002-34;6,69683E+11;23/04/2015 13:49
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;24521950;JACKELINE PIMENTEL;;F;AV OSMUNDO DOS SANTOS PELEGRINE;1587;RECANTO QUARTO CENTENÁRIO;13211745;JUNDIAÍ;SP;1;GOOD HEALTH SUPLEMENTOS;24.521.950/0001-20;4,07552E+11;10/07/2016 23:00
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;331930788;JESIEL LEMOS SOARES;;F;DOMINGOS DA COSTA GRIMALDI;105;CENTRO;11750000;PERUIBE;SP;67;HULK SUPLEMENTOS - RJ DO SACRAMENTO;. 33.193/0788-67;ISENTO;22/12/2015 21:49
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;25036343;JESSICA NASCIMENTO CARDOSO;;F;RUA OLIVIO SAES;45;VILA LINOPOLIS;13450000;SANTA BARBARA D OESTE;SP;1;JESSICA NASCIMENTO CARDOSO;25.036.343/0001-37;6,06176E+11;15/05/2017 23:45
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;20526771;JHONATAS DIAS FIQUEIREDO ME;;F;RUA FRANCISCO FERREIRA;204;CENTRO;13835000;CONCHAL;SP;1;JHONATAS DIAS FIQUEIREDO ME;20.526.771/0001-24;2,70024E+11;01/07/2016 09:40
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;18784087;JOHNY RODRIGUES BETTA ME;;F;AV. INDUSTRIA;173;JD. PEROLA;13454200;SANTA BARBARA D OESTE;SP;1;BETTA SUPLEMENTOS;18.784.087/0001-09;6,0613E+11;26/05/2015 15:06
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;22575296;JOSE R PINHEIRO EPP;12769;F;RUA BARONESA DO JAPI;247;CENTRO;13207684;JUNDIAI;SP;1;MMA HOUSE;22.575.296/0001-01;4,0752E+11;02/11/2015 11:15
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;22133246;JULIANA VILLEGAS PRADO DE ANDRADE;;F;AV. BARÃO DE MONTE ALEGRE;103;JD BONFIM;13032525;CAMPINAS;SP;1;CIA FITNESS;22.133.246/0001-74;7,95584E+11;11/03/2016 11:46
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;22856945;KAREN MUZEL KLEICK DA FONSECA;;F;AV AMERICO FIGUEIREDO;1235;;;SOROCABA;SP;1;SUPLEMENTARIA ANABOLIKA;22.856.945/0001-42;6,69915E+11;24/08/2016 12:09
